split,scope,speed_bin_mps,snr_db,n,mean_true_speed_mps,position_rmse_m,velocity_rmse_mps,velocity_error_median_mps,velocity_error_p95_mps,n_ge2bs,position_rmse_m_ge2bs,velocity_rmse_mps_ge2bs,velocity_error_over_speed_median,velocity_error_over_speed_p95,direction_angle_median_deg,direction_flip_fraction
train,scene_1,"[5,10)",0.0,4164,7.811895415584478,0.11389414528044833,0.245428588599825,0.18383261991172362,0.44167472792663154,4164,0.11389414528044833,0.245428588599825,0.023766253703545223,0.06152281147612031,0.3895726647429652,0.0
train,scene_1,"[5,10)",5.0,4164,7.811895415584478,0.06409057747152153,0.13804734696878504,0.10339786443242,0.24861591888536574,4164,0.06409057747152153,0.13804734696878504,0.013365786853172438,0.03460532963579217,0.21936587337248106,0.0
train,scene_1,"[5,10)",10.0,4164,7.811895415584478,0.03611463822639856,0.07768541758683613,0.05819244021672148,0.1399800608794979,4164,0.03611463822639856,0.07768541758683613,0.007519334314149511,0.0194725066855184,0.12374706644760125,0.0
train,scene_1,"[10,20)",-10.0,7897,15.059010383868866,0.44590340878008616,0.9505028707934853,0.6574472876102792,1.8352254454632093,7897,0.44590340878008616,0.9505028707934853,0.044429906662646595,0.1312088493881629,0.7351309884396559,0.0
train,scene_1,"[10,20)",-5.0,7897,15.059010383868866,0.250726320152136,0.5345028282362917,0.36988973262768465,1.0323460656179055,7897,0.250726320152136,0.5345028282362917,0.024962955537675337,0.07378324604264724,0.4146571432896478,0.0
train,scene_1,"[10,20)",0.0,7897,15.059010383868866,0.1410137032827077,0.30059051278838206,0.20798429360332288,0.5803042859430244,7897,0.1410137032827077,0.30059051278838206,0.01405453267812397,0.04151347569711542,0.23327348866777126,0.0
train,scene_1,"[10,20)",5.0,7897,15.059010383868866,0.07934670065742179,0.16907164488486798,0.1169440244233777,0.326306122977828,7897,0.07934670065742179,0.16907164488486798,0.007901605942687812,0.023353579434507006,0.13124744153782447,0.0
train,scene_1,"[10,20)",10.0,7897,15.059010383868866,0.044709747226746484,0.0951436575793829,0.06581444399838292,0.18359495034521425,7897,0.044709747226746484,0.0951436575793829,0.004447761803835751,0.013137643248357757,0.07396606486602017,0.0
train,scene_1,"[20,inf)",-10.0,8814,22.71753046392483,0.4626646023888832,0.9682705394590256,0.6710120990571136,1.888749454230908,8814,0.4626646023888832,0.9682705394590256,0.02965067807169177,0.08436419626955483,0.5033892105995806,0.0
train,scene_1,"[20,inf)",-5.0,8814,22.71753046392483,0.26015150217393135,0.5444883642179064,0.37740684065180474,1.0619510311447204,8814,0.26015150217393135,0.5444883642179064,0.016676089721261313,0.04746048087024859,0.28339824402005365,0.0
train,scene_1,"[20,inf)",0.0,8814,22.71753046392483,0.14631459633255217,0.30620459334648636,0.21226010874963624,0.5971623204313078,8814,0.14631459633255217,0.30620459334648636,0.0093684844913461,0.026695296323518542,0.15952459668482627,0.0
train,scene_1,"[20,inf)",5.0,8814,22.71753046392483,0.08232886889488895,0.17222934059771033,0.11939587669699403,0.33587132886118876,8814,0.08232886889488895,0.17222934059771033,0.00526947490977811,0.01501337396626422,0.08972803021550999,0.0
train,scene_1,"[20,inf)",10.0,8814,22.71753046392483,0.046388829512997186,0.09692138025531769,0.06718596711284042,0.18899523900823118,8814,0.046388829512997186,0.09692138025531769,0.00296510839085201,0.00844926556247368,0.05057486284655088,0.0
val,overall,"[0,0.5)",-10.0,221,0.22977930600170793,0.2752914312458468,0.6328386870844088,0.5210615047487158,1.1004291081720956,221,0.2752914312458468,0.6328386870844088,,,,
val,overall,"[0,0.5)",-5.0,221,0.22977930600170793,0.15482998197203052,0.3559764626103268,0.29328640326547406,0.6186681434473695,221,0.15482998197203052,0.3559764626103268,,,,
val,overall,"[0,0.5)",0.0,221,0.22977930600170793,0.08708922832335247,0.200225449474733,0.1645556040134213,0.347878379158876,221,0.08708922832335247,0.200225449474733,,,,
val,overall,"[0,0.5)",5.0,221,0.22977930600170793,0.04900748559863425,0.11263004608230975,0.09224857044603148,0.19565500810355835,221,0.04900748559863425,0.11263004608230975,,,,
val,overall,"[0,0.5)",10.0,221,0.22977930600170793,0.02761682747304837,0.06338434940671704,0.05181584721295793,0.1100977438336327,221,0.02761682747304837,0.06338434940671704,,,,
val,overall,"[0.5,1)",-10.0,65,0.7276692467533997,0.34924886440116687,0.6574873332363576,0.5566281590912648,1.08226434491983,65,0.34924886440116687,0.6574873332363576,,,,
val,overall,"[0.5,1)",-5.0,65,0.7276692467533997,0.19635166630561973,0.369806992482349,0.3128082361084575,0.608667493234179,65,0.19635166630561973,0.369806992482349,,,,
val,overall,"[0.5,1)",0.0,65,0.7276692467533997,0.11042037742764431,0.20799426820033096,0.17585194404916918,0.3423154671719404,65,0.11042037742764431,0.20799426820033096,,,,
val,overall,"[0.5,1)",5.0,65,0.7276692467533997,0.06212543255444778,0.11699695274825084,0.09889073595013564,0.1925444098318169,65,0.06212543255444778,0.11699695274825084,,,,
