selection,seed,validation_split,origin,snr_db,gnn_epoch,relation_D_epoch,ade_targets,fde_targets,gnn_ADE,relation_D_ADE,delta_ADE_relation_minus_gnn,gnn_FDE,relation_D_FDE,delta_FDE_relation_minus_gnn,gnn_scene_J,relation_D_scene_J,delta_scene_J_relation_minus_gnn,gnn_source,relation_D_source
final,2026,V_select,5,5,100,100,8,8,1.1919825077056885,0.9674646854400635,-0.224517822265625,2.410890817642212,1.8402173519134521,-0.5706734657287598,2.3974279165267944,1.8875733613967896,-0.5098545551300049,project/results/qgat_extend100/seed2026/gnn/validation_epoch_100.json,project/results/qgat_extend100/seed2026/relation_D/validation_epoch_100.json
final,2026,V_select,5,10,100,100,8,8,1.1907548904418945,0.9662966728210449,-0.2244582176208496,2.408128261566162,1.838854432106018,-0.569273829460144,2.3948190212249756,1.885723888874054,-0.5090951323509216,project/results/qgat_extend100/seed2026/gnn/validation_epoch_100.json,project/results/qgat_extend100/seed2026/relation_D/validation_epoch_100.json
final,2026,V_select,5,15,100,100,8,8,1.18843412399292,0.9656734466552734,-0.22276067733764648,2.402531147003174,1.8378040790557861,-0.5647270679473877,2.389699697494507,1.8845754861831665,-0.5051242113113403,project/results/qgat_extend100/seed2026/gnn/validation_epoch_100.json,project/results/qgat_extend100/seed2026/relation_D/validation_epoch_100.json
final,2026,V_select,5,20,100,100,8,8,1.1884883642196655,0.9656631946563721,-0.22282516956329346,2.4026873111724854,1.837775707244873,-0.5649116039276123,2.389832019805908,1.8845510482788086,-0.5052809715270996,project/results/qgat_extend100/seed2026/gnn/validation_epoch_100.json,project/results/qgat_extend100/seed2026/relation_D/validation_epoch_100.json
final,2026,V_select,6,5,100,100,8,8,1.1376700401306152,0.8819229602813721,-0.25574707984924316,2.467947006225586,1.7836859226226807,-0.6842610836029053,2.371643543243408,1.7737659215927124,-0.5978776216506958,project/results/qgat_extend100/seed2026/gnn/validation_epoch_100.json,project/results/qgat_extend100/seed2026/relation_D/validation_epoch_100.json
final,2026,V_select,6,10,100,100,8,8,1.137213945388794,0.8810385465621948,-0.2561753988265991,2.46661114692688,1.7825194597244263,-0.6840916872024536,2.370519518852234,1.772298276424408,-0.5982212424278259,project/results/qgat_extend100/seed2026/gnn/validation_epoch_100.json,project/results/qgat_extend100/seed2026/relation_D/validation_epoch_100.json
final,2026,V_select,6,15,100,100,8,8,1.1410263776779175,0.8855671882629395,-0.255459189414978,2.4743704795837402,1.7903075218200684,-0.6840629577636719,2.3782116174697876,1.7807209491729736,-0.597490668296814,project/results/qgat_extend100/seed2026/gnn/validation_epoch_100.json,project/results/qgat_extend100/seed2026/relation_D/validation_epoch_100.json
final,2026,V_select,6,20,100,100,8,8,1.142539381980896,0.8897103071212769,-0.25282907485961914,2.4796996116638184,1.7981828451156616,-0.6815167665481567,2.382389187812805,1.7888017296791077,-0.5935874581336975,project/results/qgat_extend100/seed2026/gnn/validation_epoch_100.json,project/results/qgat_extend100/seed2026/relation_D/validation_epoch_100.json
final,2026,V_select,7,5,100,100,8,8,1.0461065769195557,1.0732927322387695,0.027186155319213867,2.2535858154296875,2.144157886505127,-0.10942792892456055,2.1728994846343994,2.145371675491333,-0.027527809143066406,project/results/qgat_extend100/seed2026/gnn/validation_epoch_100.json,project/results/qgat_extend100/seed2026/relation_D/validation_epoch_100.json
final,2026,V_select,7,10,100,100,8,8,1.0478042364120483,1.069955587387085,0.02215135097503662,2.2562811374664307,2.13441801071167,-0.12186312675476074,2.1759448051452637,2.13716459274292,-0.03878021240234375,project/results/qgat_extend100/seed2026/gnn/validation_epoch_100.json,project/results/qgat_extend100/seed2026/relation_D/validation_epoch_100.json
final,2026,V_select,7,15,100,100,8,8,1.0466744899749756,1.0688376426696777,0.02216315269470215,2.2507882118225098,2.134305000305176,-0.11648321151733398,2.1720685958862305,2.1359901428222656,-0.036078453063964844,project/results/qgat_extend100/seed2026/gnn/validation_epoch_100.json,project/results/qgat_extend100/seed2026/relation_D/validation_epoch_100.json
