scene_type,scene,snr_ref_db,target,bs,range_bin,received_snr_db,peak_to_noise_db,g_emp_db,peak_power,noise_floor,cfar_score
synthetic,count1_r140_norm_b40,15.0,0,1,10-75,20.35964257140506,25.39106406996978,5.031421498564718,1729617.7398555914,4998.54635507228,25.090908084623102
synthetic,count1_r140_norm_b40,15.0,0,2,150-225,6.418360471623378,23.661661574185565,17.243301102562185,64422.40090901912,277.2494854141583,16.84907757801222
synthetic,count1_r140_norm_b40,20.0,0,0,75-150,14.15487857287048,25.504007546765756,11.349128973895276,416169.2948879921,1171.8425949234095,25.751985975948866
synthetic,count1_r140_norm_b40,20.0,0,1,10-75,25.35964257140506,25.39280957033855,0.0331669989334884,5469352.58510323,15799.922776161797,25.100994556710713
synthetic,count1_r140_norm_b40,20.0,0,2,150-225,11.418360471623378,23.67242718233571,12.254066710712332,203840.7044961557,875.0808770319951,16.89089610954476
synthetic,count1_r140_norm_b65,-10.0,0,0,75-150,-15.84512142712952,23.56251766019897,39.40763908732849,420.6497981693485,1.8521191359315405,16.468791774238554
synthetic,count1_r140_norm_b65,-10.0,0,1,75-150,-13.324182046095535,22.541161308210036,35.86534335430557,669.5884432068751,3.7298538816628226,13.017455547750348
synthetic,count1_r140_norm_b65,-10.0,0,2,75-150,-10.900357764057013,25.174165745818957,36.074523509875974,1308.328999462451,3.9746637428791525,23.868578050931575
synthetic,count1_r140_norm_b65,-5.0,0,0,75-150,-10.84512142712952,24.548332365671392,35.39345379280091,1316.066438529635,4.61790056896224,20.665371123554362
synthetic,count1_r140_norm_b65,-5.0,0,1,75-150,-8.324182046095535,22.942707027628984,31.26688907372452,2109.6340860740593,10.713624754887027,14.27843718378725
synthetic,count1_r140_norm_b65,-5.0,0,2,75-150,-5.900357764057014,25.64239752983123,31.54275529388824,4148.490147023194,11.314889315679416,26.585799520316744
synthetic,count1_r140_norm_b65,0.0,0,0,75-150,-5.84512142712952,24.938041578499913,30.783163005629433,4137.428217965073,13.27169260814536,22.60550067242447
synthetic,count1_r140_norm_b65,0.0,0,1,75-150,-3.324182046095535,23.08766735304722,26.411849399142753,6660.579431420688,32.71487585433301,14.76307097916135
synthetic,count1_r140_norm_b65,0.0,0,2,75-150,-0.9003577640570135,25.791299688951064,26.691657453008077,13139.540258803225,34.62981735582192,27.513126272948014
synthetic,count1_r140_norm_b65,5.0,0,0,75-150,-0.84512142712952,25.08151909930771,25.92664052643723,13041.229303590544,40.47311408906161,23.36479002331037
synthetic,count1_r140_norm_b65,5.0,0,1,75-150,1.675817953904465,23.127876148708715,21.452058194804252,21046.900349476735,102.42371639394777,14.900388341492457
synthetic,count1_r140_norm_b65,5.0,0,2,75-150,4.099642235942986,25.833822844881297,21.73418060893831,41588.9366224117,108.54142816787498,27.783839210616446
synthetic,count1_r140_norm_b65,10.0,0,0,75-150,4.15487857287048,25.134736811864457,20.979858238993977,41165.28349000568,126.19944047393317,23.652859588677085
synthetic,count1_r140_norm_b65,10.0,0,1,75-150,6.675817953904465,23.138877085514324,16.46305913160986,66529.04109423948,322.94127479931035,14.938179752635726
synthetic,count1_r140_norm_b65,10.0,0,2,75-150,9.099642235942987,25.84421544308198,16.74457320713899,131584.41262265533,342.596484227667,27.85040511182243
synthetic,count1_r140_norm_b65,15.0,0,0,75-150,9.15487857287048,25.155511226245938,16.000632653375458,130044.02522637324,396.7704143712116,23.766273745215234
synthetic,count1_r140_norm_b65,15.0,0,1,75-150,11.675817953904465,23.141348182267237,11.465530228362772,210335.92542220777,1020.4192394184842,14.946681861870562
synthetic,count1_r140_norm_b65,15.0,0,2,75-150,14.099642235942987,25.845747521777497,11.74610528583451,416229.4853425594,1083.3233145515906,27.860231748185353
synthetic,count1_r140_norm_b65,20.0,0,0,75-150,14.15487857287048,25.164237710279707,11.009359137409227,411001.34209397406,1251.4671926225938,23.81407645097249
