model,snr_ref_db,scene,count,range_class,bs,target_index,visible,matched,false_alarms_bs,r_gt_m,u_gt,r_hat_m,u_hat,vr_hat_mps,range_abs_m,u_abs,xy_abs_m,peak_to_noise_db,gt_rd_snr_db
COMB4_destagger,15.0,count1_r40_norm_b0,1,medium,1,0,True,True,6,175.25489256570543,0.6102558395972497,175.25299402922172,0.6102243460325082,4.50261462614891,0.0018985364837078578,3.149356474152487e-05,0.007218513479979478,24.003339829447437,
TF22_comb2_stride2,15.0,count1_r40_norm_b0,1,near,0,0,True,True,4,40.0,0.0,39.9974195336917,-3.486527933456675e-07,-7.938009750765616,0.0025804663083022206,3.486527933456675e-07,0.0026009037039482507,25.302483881077123,69.39010640149205
TF22_comb2_stride2,15.0,count1_r40_norm_b0,1,medium,1,0,True,True,2,175.25489256570543,0.6102558395972497,175.25247535305195,0.6102896833563396,4.504369560064558,0.0024172126534836025,3.384375908987991e-05,0.00786506417553834,23.972199164346147,
TS8_diagnostic,15.0,count1_r40_norm_b0,1,near,0,0,True,True,2,40.0,0.0,39.997310873959094,4.269189277835607e-06,-7.9377949863545645,0.002689126040905876,4.269189277835607e-06,0.002715675747585661,25.29827268193301,66.39473638481552
TS8_diagnostic,15.0,count1_r40_norm_b0,1,medium,1,0,True,True,2,175.25489256570543,0.6102558395972497,175.25295940091198,0.6102578160295996,4.5055124871150625,0.001933164793456399,1.976432349892754e-06,0.001982722249246989,23.899189501107898,
E0_full_grid,20.0,count1_r40_norm_b0,1,near,0,0,True,True,0,40.0,0.0,39.99744960903752,1.0164951294311418e-06,-7.938104644388803,0.0025503909624831067,1.0164951294311418e-06,0.0025708702747597803,25.30156011470696,80.42679069960592
E0_full_grid,20.0,count1_r40_norm_b0,1,medium,1,0,True,True,0,175.25489256570543,0.6102558395972497,175.25252551249616,0.6102044449855619,4.50304614732069,0.002367053209269443,5.139461168779391e-05,0.01160883482995392,24.039328630827086,
TS2_time_sparse,20.0,count1_r40_norm_b0,1,near,0,0,True,True,3,40.0,0.0,39.997418374459826,-8.219386816121745e-07,-7.938087834767314,0.0025816255401736043,8.219386816121745e-07,0.00260223973998672,25.30058262671094,77.4256232370089
TS2_time_sparse,20.0,count1_r40_norm_b0,1,medium,1,0,True,True,0,175.25489256570543,0.6102558395972497,175.2523793386229,0.6102503758867307,4.5032352465993375,0.0025132270825451997,5.463710519015841e-06,0.0027894815824440014,24.029089858789398,
TS4_time_sparse,20.0,count1_r40_norm_b0,1,near,0,0,True,True,1,40.0,0.0,39.99744114091206,-1.0184643581893157e-07,-7.938040061545924,0.0025588590879408457,1.0184643581893157e-07,0.0025790920143223955,25.30061981367121,74.40657850626417
TS4_time_sparse,20.0,count1_r40_norm_b0,1,medium,1,0,True,True,2,175.25489256570543,0.6102558395972497,175.25268653038373,0.6102484555444672,4.503142847228189,0.0022060353217057127,7.384052782555273e-06,0.002745315822042886,24.009998306980243,
COMB4_destagger,20.0,count1_r40_norm_b0,1,near,0,0,True,True,5,40.0,0.0,39.99747060012726,2.6890557028416897e-06,-7.938141871753767,0.002529399872742033,2.6890557028416897e-06,0.002551629236087882,25.305828264524727,74.44476107824795
COMB4_destagger,20.0,count1_r40_norm_b0,1,medium,1,0,True,True,6,175.25489256570543,0.6102558395972497,175.25267557318716,0.6102226603561796,4.502852268636762,0.0022169925182708994,3.317924107015813e-05,0.007664802978127217,24.035422474615153,
TF22_comb2_stride2,20.0,count1_r40_norm_b0,1,near,0,0,True,True,3,40.0,0.0,39.997414785237915,-1.9605150446437974e-07,-7.9380535996504955,0.002585214762085286,1.9605150446437974e-07,0.0026056645127580974,25.30366400653876,74.39010640149205
TF22_comb2_stride2,20.0,count1_r40_norm_b0,1,medium,1,0,True,True,2,175.25489256570543,0.6102558395972497,175.2523900211257,0.6102593586326217,4.5038395952855055,0.002502544579726873,3.5190353719904977e-06,0.002621714653019154,24.019812137237267,
TS8_diagnostic,20.0,count1_r40_norm_b0,1,near,0,0,True,True,2,40.0,0.0,39.99735369381026,2.401024402228348e-06,-7.937933061473548,0.002646306189738823,2.401024402228348e-06,0.0026689287698199657,25.300021619769275,71.39473638481553
TS8_diagnostic,20.0,count1_r40_norm_b0,1,medium,1,0,True,True,2,175.25489256570543,0.6102558395972497,175.25265944129967,0.6102415162647314,4.504492395191769,0.00223312440576251,1.4323332518273446e-05,0.0038759430809509384,23.98740089526025,
E0_full_grid,-5.0,count1_r40_norm_b40,1,near,0,0,True,True,1,39.99999999999999,0.6427876096865394,39.9974698046351,0.6427393656513556,-4.170454111796899,0.0025301953648906306,4.82440351837754e-05,0.0035706601112020005,24.925594420648437,55.34054243294555
E0_full_grid,-5.0,count1_r40_norm_b40,1,medium,1,0,True,True,0,169.03846995725763,0.48173989849880217,169.03648681455041,0.48200413850567475,5.554751018104309,0.0019831427072176666,0.00026424000687258475,0.050991363036296214,23.80202292394759,
TS2_time_sparse,-5.0,count1_r40_norm_b40,1,near,0,0,True,True,0,39.99999999999999,0.6427876096865394,39.9976172460022,0.6427303817766354,-4.170153617352128,0.0023827539977929746,5.722790990392301e-05,0.0038153045507939272,24.910971466266737,52.328096906744086
TS2_time_sparse,-5.0,count1_r40_norm_b40,1,medium,1,0,True,True,1,169.03846995725763,0.48173989849880217,169.04805225219383,0.4823043282951892,5.555166643825818,0.009582294936194558,0.0005644297963870448,0.10927291590209146,22.907179326463904,
TS4_time_sparse,-5.0,count1_r40_norm_b40,1,near,0,0,True,True,1,39.99999999999999,0.6427876096865394,39.99749073229677,0.6427403540112151,-4.171009536026099,0.0025092677032247934,4.725567532426478e-05,0.003519827091220859,24.892824911486933,49.302067052335026
TS4_time_sparse,-5.0,count1_r40_norm_b40,1,medium,1,0,True,True,0,169.03846995725763,0.48173989849880217,169.04020188216685,0.48202222465643013,5.556725019441236,0.0017319249092224709,0.00028232615762796565,0.05446873227628386,21.36111360080711,
