record,model,K,N,snr_ref_db,r_m,radial_mps,received_snr_db,measured_rd_snr_db,theory_rd_snr_db,delta_db,detection_margin_db
predicted,B_sparse_comb2,256,256,15.0,140.0,,9.15487857287048,,50.787552741354034,,46.604374070067244
predicted,C_sparse_A_plus_RCS,256,256,15.0,140.0,,9.15487857287048,,47.77725278471422,,43.59407411342743
predicted,E0_full_grid,256,256,15.0,280.0,,-2.88632125368877,,41.756652871434596,,37.57347420014781
predicted,A_sparse_comb4,256,256,15.0,280.0,,-2.88632125368877,,35.73605295815497,,31.552874286868185
predicted,B_sparse_comb2,256,256,15.0,280.0,,-2.88632125368877,,38.746352914794784,,34.563174243507994
predicted,C_sparse_A_plus_RCS,256,256,15.0,280.0,,-2.88632125368877,,35.73605295815497,,31.552874286868185
predicted,E0_full_grid,256,256,20.0,40.0,,35.9176003468815,,80.56057447200487,,76.37739580071809
predicted,A_sparse_comb4,256,256,20.0,40.0,,35.9176003468815,,74.53997455872525,,70.35679588743847
predicted,B_sparse_comb2,256,256,20.0,40.0,,35.9176003468815,,77.55027451536506,,73.36709584407828
predicted,C_sparse_A_plus_RCS,256,256,20.0,40.0,,35.9176003468815,,74.53997455872525,,70.35679588743847
predicted,E0_full_grid,256,256,20.0,140.0,,14.15487857287048,,58.79785269799385,,54.61467402670706
predicted,A_sparse_comb4,256,256,20.0,140.0,,14.15487857287048,,52.77725278471422,,48.59407411342743
predicted,B_sparse_comb2,256,256,20.0,140.0,,14.15487857287048,,55.787552741354034,,51.604374070067244
predicted,C_sparse_A_plus_RCS,256,256,20.0,140.0,,14.15487857287048,,52.77725278471422,,48.59407411342743
predicted,E0_full_grid,256,256,20.0,280.0,,2.11367874631123,,46.756652871434596,,42.57347420014781
predicted,A_sparse_comb4,256,256,20.0,280.0,,2.11367874631123,,40.73605295815497,,36.55287428686818
predicted,B_sparse_comb2,256,256,20.0,280.0,,2.11367874631123,,43.746352914794784,,39.563174243507994
predicted,C_sparse_A_plus_RCS,256,256,20.0,280.0,,2.11367874631123,,40.73605295815497,,36.55287428686818
