origin,slot,episode_id,source_block,qgnn_ADE,qgnn_FDE,gnn_ADE,gnn_FDE
115,1,s1_t1118937000200_a1538,22,0.004924180917441845,0.0037994429003447294,0.015086635947227478,0.024852145463228226
115,2,s1_t1118937000200_a1538,22,0.014966475777328014,0.018450230360031128,0.013425135985016823,0.03160084784030914
115,3,s1_t1118937000200_a1538,22,2.2732760906219482,4.998738765716553,2.9280285835266113,6.845945835113525
115,4,s1_t1118937000200_a1538,22,2.0621674060821533,5.07907247543335,1.8492615222930908,4.557852745056152
115,5,s1_t1118937000200_a1538,22,0.1627771556377411,0.5378228425979614,0.686319887638092,1.3113726377487183
116,0,s1_t1118937000200_a1538,22,0.011931253597140312,0.01051536574959755,0.01817852258682251,0.021469974890351295
116,1,s1_t1118937000200_a1538,22,0.015045138075947762,0.01992165483534336,0.025043964385986328,0.03675505146384239
116,2,s1_t1118937000200_a1538,22,0.012607403099536896,0.014595822431147099,0.01259198784828186,0.016173958778381348
116,3,s1_t1118937000200_a1538,22,2.888533115386963,7.133926868438721,3.514954090118408,7.558581352233887
116,4,s1_t1118937000200_a1538,22,1.4674047231674194,4.313165664672852,1.2373497486114502,3.5951592922210693
116,5,s1_t1118937000200_a1538,22,0.09039855003356934,0.302388072013855,0.20472833514213562,0.3480982482433319
117,0,s1_t1118937000200_a1538,22,0.014133870601654053,0.01641273871064186,0.011110112071037292,0.013842446729540825
117,1,s1_t1118937000200_a1538,22,0.00404179934412241,0.002933589508756995,0.014091861434280872,0.026698222383856773
117,2,s1_t1118937000200_a1538,22,0.012904427945613861,0.014710948802530766,0.0114687355235219,0.014810406602919102
117,3,s1_t1118937000200_a1538,22,3.1733603477478027,6.884243965148926,2.322920322418213,4.912586212158203
117,4,s1_t1118937000200_a1538,22,2.1670117378234863,5.135982990264893,1.9351685047149658,4.581255912780762
117,5,s1_t1118937000200_a1538,22,0.04990006238222122,0.11109696328639984,0.0056776381097733974,0.007165440358221531
118,0,s1_t1118937000200_a1538,22,0.01308128796517849,0.016283998265862465,0.007884246297180653,0.008958251215517521
118,1,s1_t1118937000200_a1538,22,0.009253149852156639,0.015525358729064465,0.014579633250832558,0.025948327034711838
118,2,s1_t1118937000200_a1538,22,0.013104614801704884,0.014379854314029217,0.008573484607040882,0.00632178969681263
118,3,s1_t1118937000200_a1538,22,0.3211594223976135,0.5890458226203918,0.6864837408065796,0.9937907457351685
118,4,s1_t1118937000200_a1538,22,0.8838039636611938,1.6667885780334473,0.8811744451522827,1.5183370113372803
118,5,s1_t1118937000200_a1538,22,0.0038933518808335066,0.003537737997248769,0.01005115918815136,0.013477328233420849
119,0,s1_t1118937000200_a1538,22,0.01165829598903656,0.015097381547093391,0.007553064730018377,0.010922824032604694
119,1,s1_t1118937000200_a1538,22,0.01611442118883133,0.02071225270628929,0.023459618911147118,0.03636254370212555
119,2,s1_t1118937000200_a1538,22,0.01348425168544054,0.014391645789146423,0.009214240126311779,0.007019152399152517
119,3,s1_t1118937000200_a1538,22,0.7354768514633179,1.7128167152404785,0.8759088516235352,1.8501633405685425
119,4,s1_t1118937000200_a1538,22,0.595894992351532,1.2928484678268433,0.542422354221344,1.071295976638794
119,5,s1_t1118937000200_a1538,22,0.005756622180342674,0.009012379683554173,0.006660892628133297,0.010049235075712204
120,0,s1_t1118937000200_a1538,22,0.014235669746994972,0.044306304305791855,0.012035569176077843,0.046678535640239716
120,1,s1_t1118937000200_a1538,22,0.003933528903871775,0.003935068845748901,0.012367915362119675,0.02173088863492012
120,2,s1_t1118937000200_a1538,22,0.013483250513672829,0.014385894872248173,0.009210600517690182,0.00700363889336586
120,3,s1_t1118937000200_a1538,22,0.4559171795845032,1.093783974647522,0.08919040113687515,0.17161856591701508
120,4,s1_t1118937000200_a1538,22,0.13572604954242706,0.4885578453540802,0.1729111671447754,0.24807468056678772
120,5,s1_t1118937000200_a1538,22,0.005758311599493027,0.009008199907839298,0.006656290031969547,0.010039766319096088
121,0,s1_t1118937000200_a1538,22,0.05606263875961304,0.12452568858861923,0.057622991502285004,0.12750087678432465
