group_type,group_value,targets,origins,episodes,Q_minus_G_ADE,Q_minus_G_FDE,A_minus_Q_ADE,A_minus_Q_FDE,split
episode_id,s0_t1118936360200_a686,119,31,1,-0.10631991138343212,-0.3218599509334824,0.11802139250371564,0.40758528326025883,train
episode_id,s0_t1118936360200_a698,124,31,1,-0.11251811629804445,-0.3396821427866863,0.10172660368406745,0.20618658348728938,train
episode_id,s0_t1118936360200_a714,248,31,1,-0.06658246599726336,-0.17826304393273754,0.08398781894052941,0.2168196403691931,train
episode_id,s0_t1118936380200_a739,248,31,1,-0.13918719862159826,-0.31546997371838803,0.1329134862508611,0.3167315495506613,train
episode_id,s0_t1118936380200_a748,128,31,1,-0.019362930294361362,-0.030914267768328327,0.11685973253833888,0.2786914784296375,train
episode_id,s0_t1118936380200_a766,128,31,1,-0.02166499364994045,-0.034681169421905744,0.11093860059523078,0.2652578385741846,train
episode_id,s0_t1118936400200_a709,17,9,1,-0.032424828712123155,-0.20753647723072757,0.049134917370706147,0.19030586417800338,train
episode_id,s0_t1118936400200_a759,167,31,1,-0.11864538886709568,-0.31138622366852464,0.08109178911360257,0.1778693625170652,train
episode_id,s0_t1118936400200_a789,194,31,1,-0.055925392469776965,-0.12139844393364671,0.11372830677296217,0.29911779981218917,train
episode_id,s0_t1118936420200_a816,248,31,1,-0.115958831577676,-0.2973326943996343,0.12438807616231763,0.2888627573220422,train
episode_id,s0_t1118936420200_a831,248,31,1,-0.09912004390982053,-0.24651962136024755,0.1170032471153471,0.24737571671871944,train
episode_id,s0_t1118936420200_a841,248,31,1,-0.11499334477638803,-0.27527131994558895,0.11835068825599318,0.2708991548931802,train
episode_id,s0_t1118936440200_a725,137,23,1,-0.002427927124999525,-0.01138486908404815,0.013628670710053976,-0.041726666216632825,train
episode_id,s0_t1118936440200_a813,152,31,1,-0.06589849342257897,-0.16100283520043454,0.06738274496638952,0.138816424708518,train
episode_id,s0_t1118936440200_a830,205,31,1,-0.05531670417957535,-0.2196888465505728,0.06029880490811458,0.20607707730786218,train
episode_id,s0_t1118936460200_a746,126,31,1,-0.10573391237208125,-0.23397544928504627,0.10871873815458141,0.18889139515628287,train
episode_id,s0_t1118936460200_a864,243,31,1,-0.09994101589532713,-0.2785130474300609,0.07201710155778222,0.18102908884917787,train
episode_id,s0_t1118936460200_a869,193,31,1,-0.03541177175119337,-0.08932017751405184,0.09885852657934502,0.23474248630491276,train
episode_id,s0_t1118936480200_a887,206,31,1,-0.15247828494426868,-0.3989923713553052,0.13613749148148013,0.3251825678203369,train
episode_id,s0_t1118936480200_a894,205,31,1,-0.17796558748837035,-0.5086588800367918,0.1726676212674167,0.40092366425767884,train
episode_id,s0_t1118936480200_a921,155,31,1,-0.18319222936732724,-0.4430990286278432,0.11671503233000399,0.2614693940285773,train
episode_id,s0_t1118936500200_a869,248,31,1,-0.00706614609698475,-0.011056660375876357,0.009582184561257994,0.03282094088266792,train
episode_id,s0_t1118936500200_a886,94,31,1,-0.11618904708112818,-0.2720839868322738,0.08708353263530061,0.26980289880368047,train
episode_id,s0_t1118936500200_a939,219,31,1,-0.055797206908142286,-0.20696402728244206,0.03552698158867087,0.1174257191521258,train
episode_id,s0_t1118936520200_a896,239,31,1,-0.04865160162357942,-0.20521722115003596,0.09638933523794836,0.3302826700979301,train
episode_id,s0_t1118936520200_a932,29,9,1,-0.030516486351243016,-0.11155283007326079,0.019408821512179517,-0.11647470453781111,train
episode_id,s0_t1118936520200_a958,217,31,1,-0.0037656986714516296,-0.010075810055000847,0.0008110335815580662,0.004477042003621018,train
episode_id,s0_t1118936540200_a1009,242,31,1,0.003395231668632245,-0.00044589656010433405,0.0367356437069009,0.13187280191284795,train
episode_id,s0_t1118936540200_a927,234,31,1,-0.022271423093355936,-0.06608408533486453,0.03233977253209362,0.07112052031882429,train
episode_id,s0_t1118936540200_a967,233,31,1,-0.020083749462501323,-0.0807882023115137,0.01518726399161303,0.045119769203938405,train
episode_id,s0_t1118936560200_a1017,155,31,1,-0.039406422124553364,-0.17642289417427168,0.09161330429056165,0.2761422186506141,train
episode_id,s0_t1118936560200_a940,169,31,1,-0.06570734847529337,-0.26331062266328253,0.06081493655943129,0.20056890382723702,train
episode_id,s0_t1118936560200_a984,248,31,1,-0.09829990400724982,-0.27313778700173885,0.08533383353349228,0.2337172429724573,train
episode_id,s0_t1118936580200_a1014,222,31,1,-0.13747976518117155,-0.40608710415504234,0.22853018427105098,0.6134076097031735,train
episode_id,s0_t1118936580200_a949,130,31,1,-0.022297138189338726,-0.0410582961356464,0.02677116494429895,0.04098640308942259,train
episode_id,s0_t1118936580200_a980,90,31,1,-0.02131739918251016,-0.0919613159676512,0.12000054949786003,0.4278338780201872,train
episode_id,s0_t1118936600200_a1013,229,31,1,0.009658574577058833,0.005857112823059024,0.007560664374209535,0.030987339982536336,train
episode_id,s0_t1118936600200_a1051,186,31,1,-0.060991518475950475,-0.14335406146061644,0.06696126770292042,0.1889074470869489,train
episode_id,s0_t1118936600200_a1065,229,31,1,-0.005388555520574697,-0.025152907428169075,0.01024285489377281,0.04212063017411389,train
episode_id,s0_t1118936620200_a1030,166,31,1,0.012458666364490532,-0.015870157179144882,0.027939333971053484,0.057999090487565574,train
episode_id,s0_t1118936620200_a1069,155,31,1,-0.07743595638641923,-0.2318351939898981,0.10877537609846853,0.2672737559672104,train
episode_id,s0_t1118936620200_a1074,200,31,1,-0.0018494217627535662,-0.0017130725291571547,0.0015859792976160852,0.004202816398536423,train
episode_id,s0_t1118936640200_a1044,248,31,1,0.0186890052680522,0.015549152254200938,-0.00339626866680315,-0.0005679569693910534,train
episode_id,s0_t1118936640200_a1077,248,31,1,-0.0028601365477363087,-0.0028319898005723623,0.00018112745584255343,-0.0015041852747772284,train
episode_id,s0_t1118936640200_a1207,248,31,1,0.034875625853005736,0.06437182792218796,0.005391129446351766,0.028969007302311674,train
episode_id,s0_t1118936660200_a1122,225,31,1,-0.09636879620600194,-0.25331802511227813,0.058507005783672524,0.14476645655212528,train
episode_id,s0_t1118936660200_a1123,248,31,1,-0.0648225898118653,-0.14923670085421128,0.09624623826102427,0.24704888233255828,train
