split,snr_db,horizon_steps,horizon_seconds,aligned_targets,vector_identity_max_abs_error,position_estimation_error_m,velocity_estimation_error_mps,A_norm_m,B_norm_m,C_norm_m,CV_hat_residual_norm_m,model,final_residual_identity_max_abs_error,model_correction_norm_m,model_residual_norm_m
train,20,10,1.0,33745,,,,,,,,G_best,8.881784197001252e-16,"{""count"": 33745, ""mean"": 0.6272526490958235, ""median"": 0.243525904583131, ""p90"": 1.709909175608133, ""p99"": 4.222660417624705}","{""count"": 33745, ""mean"": 0.43602844364589655, ""median"": 0.22533017649691547, ""p90"": 1.1480136060102695, ""p99"": 2.7753901253068536}"
train,20,10,1.0,33745,,,,,,,,A_best,8.881784197001252e-16,"{""count"": 33745, ""mean"": 0.6076465165843893, ""median"": 0.23603224175218676, ""p90"": 1.6497782668056613, ""p99"": 4.083613707967022}","{""count"": 33745, ""mean"": 0.4493401259051262, ""median"": 0.23324307003835093, ""p90"": 1.195308227605671, ""p99"": 2.7814909517052544}"
train,20,20,2.0,33073,1.7763568394002505e-15,"{""count"": 33073, ""mean"": 0.009782786038378604, ""median"": 0.00993796347819925, ""p90"": 0.014575750422228322, ""p99"": 0.01767691278837674}","{""count"": 33073, ""mean"": 0.006357354880262833, ""median"": 0.006807632874008204, ""p90"": 0.013507110482696887, ""p99"": 0.017465449567716146}","{""count"": 33073, ""mean"": 0.009782786038378604, ""median"": 0.00993796347819925, ""p90"": 0.014575750422228322, ""p99"": 0.01767691278837674}","{""count"": 33073, ""mean"": 0.012714709760525666, ""median"": 0.013615265748016407, ""p90"": 0.027014220965393774, ""p99"": 0.03493089913543229}","{""count"": 33073, ""mean"": 1.9440557591340328, ""median"": 1.0508333116359638, ""p90"": 5.26941382787977, ""p99"": 9.743773955759364}","{""count"": 33073, ""mean"": 1.9476824919711397, ""median"": 1.0504755821626777, ""p90"": 5.269835140027045, ""p99"": 9.735534992600671}",,,,
train,20,20,2.0,33073,,,,,,,,Q_best,1.7763568394002505e-15,"{""count"": 33073, ""mean"": 1.7444409218033805, ""median"": 0.7589167387198335, ""p90"": 4.936716631148688, ""p99"": 9.005049707383328}","{""count"": 33073, ""mean"": 0.7275293511607063, ""median"": 0.40497592360014, ""p90"": 1.8296719721798658, ""p99"": 4.893858559030182}"
train,20,20,2.0,33073,,,,,,,,G_best,1.7763568394002505e-15,"{""count"": 33073, ""mean"": 1.6745199427250879, ""median"": 0.7047945379762347, ""p90"": 4.705775099456572, ""p99"": 8.950048436973763}","{""count"": 33073, ""mean"": 0.8764628411113352, ""median"": 0.46887678591910587, ""p90"": 2.2774704067078044, ""p99"": 5.571514430071128}"
train,20,20,2.0,33073,,,,,,,,A_best,1.7763568394002505e-15,"{""count"": 33073, ""mean"": 1.6275963620473821, ""median"": 0.6736399233623246, ""p90"": 4.577928999750907, ""p99"": 8.678574457198748}","{""count"": 33073, ""mean"": 0.900560628951636, ""median"": 0.4931814991379936, ""p90"": 2.3325497962541775, ""p99"": 5.765407244880977}"
V_select,5,5,0.5,2853,3.3306690738754696e-16,"{""count"": 2853, ""mean"": 0.009800663114482541, ""median"": 0.010073634951373124, ""p90"": 0.015148626792626282, ""p99"": 0.0186155464215847}","{""count"": 2853, ""mean"": 0.007120418644293121, ""median"": 0.007703216906434073, ""p90"": 0.013981674253995255, ""p99"": 0.018739112476075084}","{""count"": 2853, ""mean"": 0.009800663114482541, ""median"": 0.010073634951373124, ""p90"": 0.015148626792626282, ""p99"": 0.0186155464215847}","{""count"": 2853, ""mean"": 0.0035602093221465607, ""median"": 0.0038516084532170367, ""p90"": 0.0069908371269976274, ""p99"": 0.009369556238037542}","{""count"": 2853, ""mean"": 0.3026045910811573, ""median"": 0.009765165000874345, ""p90"": 0.9619727848723234, ""p99"": 2.4785949245438164}","{""count"": 2853, ""mean"": 0.3078603501880361, ""median"": 0.01989137650083324, ""p90"": 0.958577137939446, ""p99"": 2.480388561208218}",,,,
V_select,5,5,0.5,2853,,,,,,,,Q_best,3.3306690738754696e-16,"{""count"": 2853, ""mean"": 0.22704576558271924, ""median"": 0.05606483466867306, ""p90"": 0.6532020082880993, ""p99"": 2.0229806345431767}","{""count"": 2853, ""mean"": 0.24583484573385442, ""median"": 0.07421726791399406, ""p90"": 0.7166402840521314, ""p99"": 1.5741797612861497}"
V_select,5,5,0.5,2853,,,,,,,,G_best,3.3306690738754696e-16,"{""count"": 2853, ""mean"": 0.22241166297681494, ""median"": 0.049595268596514995, ""p90"": 0.603928454741768, ""p99"": 1.8916942691643521}","{""count"": 2853, ""mean"": 0.24547158149059822, ""median"": 0.0819157522793667, ""p90"": 0.7067577565904252, ""p99"": 1.6066787524486754}"
V_select,5,5,0.5,2853,,,,,,,,A_best,3.3306690738754696e-16,"{""count"": 2853, ""mean"": 0.20753561628228723, ""median"": 0.03751323748379157, ""p90"": 0.5490796661193081, ""p99"": 1.8920604723532328}","{""count"": 2853, ""mean"": 0.2434797438358087, ""median"": 0.07052555496280226, ""p90"": 0.6904464468016118, ""p99"": 1.6288693145701467}"
