kind,scene_type,scene,snr_ref_db,target,bs,range_bin,received_snr_db,peak_to_noise_db,g_emp_db,gt_rd_snr_db,peak_power,noise_floor,cfar_score
detection,synthetic,count5_r40_norm_b0,5.0,3,1,150-225,-3.6880669302229716,23.723541770249557,27.411608700472527,,405.3517456075481,1.7197997068265098,19.195061114351436
input,synthetic,count5_r40_norm_b0,5.0,4,1,150-225,-2.7167669806322774,,,,,,
detection,synthetic,count5_r40_norm_b0,5.0,4,1,150-225,-2.7167669806322774,24.49715328331581,27.21392026394809,,517.7608324175385,1.838289326043764,22.937741310115335
input,synthetic,count5_r40_norm_b0,10.0,0,0,10-75,20.764028849497812,,,,,,
detection,synthetic,count5_r40_norm_b0,10.0,0,0,10-75,20.764028849497812,23.25797454443223,2.4939456949344176,,207799.6860327528,981.4031161021994,17.243792039229906
input,synthetic,count5_r40_norm_b0,10.0,1,0,10-75,24.31589864596412,,,,,,
detection,synthetic,count5_r40_norm_b0,10.0,1,0,10-75,24.31589864596412,13.217196692313271,-11.098701953650847,,530784.6750143612,25304.555101485264,1.708264010793352
input,synthetic,count5_r40_norm_b0,10.0,2,0,10-75,25.917600346881503,,,,,,
detection,synthetic,count5_r40_norm_b0,10.0,2,0,10-75,25.917600346881503,10.352191710129938,-15.565408636751565,,381860.9438870626,35211.62521750453,0.8831907119746218
input,synthetic,count5_r40_norm_b0,10.0,3,0,10-75,24.31589864596412,,,,,,
input,synthetic,count5_r40_norm_b0,10.0,4,0,10-75,20.764028849497812,,,,,,
input,synthetic,count5_r40_norm_b0,10.0,0,1,150-225,-1.9774653269306892,,,,,,
detection,synthetic,count5_r40_norm_b0,10.0,0,1,150-225,-1.9774653269306892,23.998751572021334,25.976216898952025,,597.3942441546382,2.378953080796672,20.450808374368382
input,synthetic,count5_r40_norm_b0,10.0,1,1,150-225,-0.8532530052734728,,,,,,
detection,synthetic,count5_r40_norm_b0,10.0,1,1,150-225,-0.8532530052734728,25.886715551072776,26.73996855634625,,836.0827485911042,2.1556473142788377,31.58689067445954
input,synthetic,count5_r40_norm_b0,10.0,2,1,150-225,0.2531939622116077,,,,,,
detection,synthetic,count5_r40_norm_b0,10.0,2,1,150-225,0.2531939622116077,24.721354540107402,24.468160577895794,,1035.3154577561334,3.490898682082502,24.15298302714666
input,synthetic,count5_r40_norm_b0,10.0,3,1,150-225,1.3119330697770284,,,,,,
detection,synthetic,count5_r40_norm_b0,10.0,3,1,150-225,1.3119330697770284,24.016343699121776,22.70441062934475,,1279.3868941346125,5.0741993768296725,20.53381722975945
input,synthetic,count5_r40_norm_b0,10.0,4,1,150-225,2.2832330193677226,,,,,,
detection,synthetic,count5_r40_norm_b0,10.0,4,1,150-225,2.2832330193677226,24.689059358050752,22.405826338683028,,1638.9599651743267,5.567527994204397,23.974041786730734
input,synthetic,count5_r40_norm_b0,15.0,0,0,10-75,25.764028849497812,,,,,,
detection,synthetic,count5_r40_norm_b0,15.0,0,0,10-75,25.764028849497812,23.260565141051508,-2.5034637084463043,,657105.0652846616,3101.5465295093986,17.25408114889251
input,synthetic,count5_r40_norm_b0,15.0,1,0,10-75,29.31589864596412,,,,,,
detection,synthetic,count5_r40_norm_b0,15.0,1,0,10-75,29.31589864596412,13.216169199725456,-16.099729446238662,,1678302.6582645348,80030.10053851202,1.7078599022760177
input,synthetic,count5_r40_norm_b0,15.0,2,0,10-75,30.917600346881503,,,,,,
detection,synthetic,count5_r40_norm_b0,15.0,2,0,10-75,30.917600346881503,10.353267376621037,-20.564332970260466,,1207722.0936407815,111337.1944700593,0.8834094889460976
input,synthetic,count5_r40_norm_b0,15.0,3,0,10-75,29.31589864596412,,,,,,
input,synthetic,count5_r40_norm_b0,15.0,4,0,10-75,25.764028849497812,,,,,,
input,synthetic,count5_r40_norm_b0,15.0,0,1,150-225,3.022534673069311,,,,,,
detection,synthetic,count5_r40_norm_b0,15.0,0,1,150-225,3.022534673069311,24.181289069363704,21.15875439629439,,1893.9763736025152,7.231787398162952,21.32869230978656
input,synthetic,count5_r40_norm_b0,15.0,1,1,150-225,4.146746994726527,,,,,,
detection,synthetic,count5_r40_norm_b0,15.0,1,1,150-225,4.146746994726527,26.070364928502507,21.92361793377598,,2650.0207211755087,6.54956983164675,32.9512439972246
input,synthetic,count5_r40_norm_b0,15.0,2,1,150-225,5.253193962211608,,,,,,
detection,synthetic,count5_r40_norm_b0,15.0,2,1,150-225,5.253193962211608,24.859668030245402,19.606474068033794,,3271.440081693898,10.684941957197477,24.934583896181742
input,synthetic,count5_r40_norm_b0,15.0,3,1,150-225,6.311933069777028,,,,,,
detection,synthetic,count5_r40_norm_b0,15.0,3,1,150-225,6.311933069777028,24.120822917599263,17.808889847822236,,4041.692021342633,15.64879586290307,21.033793888415293
input,synthetic,count5_r40_norm_b0,15.0,4,1,150-225,7.283233019367723,,,,,,
detection,synthetic,count5_r40_norm_b0,15.0,4,1,150-225,7.283233019367723,24.74730303439363,17.46407001502591,,5186.052822857058,17.382275642744034,24.29772573650489
input,synthetic,count5_r40_norm_b0,20.0,0,0,10-75,30.764028849497812,,,,,,
detection,synthetic,count5_r40_norm_b0,20.0,0,0,10-75,30.764028849497812,23.261915826850394,-7.502113022647418,,2077921.7396919355,9804.77437191573,17.25944812169806
input,synthetic,count5_r40_norm_b0,20.0,1,0,10-75,34.31589864596412,,,,,,
detection,synthetic,count5_r40_norm_b0,20.0,1,0,10-75,34.31589864596412,13.215587225847873,-21.100311420116245,,5306928.676807921,253095.56106753062,1.7076310568039752
input,synthetic,count5_r40_norm_b0,20.0,2,0,10-75,35.9176003468815,,,,,,
