model,samples,snr_ref_db,dvr_mps,bearing_split_deg,realization,n_detections,matched_targets,ghost_count,merged,range_median_abs_m,xy_median_m
E0,256,10.0,5.0,2.0,25,3,2,1,False,0.0030649837946157277,0.10301537105282987
B64,64,10.0,5.0,2.0,25,1,1,0,True,0.007503854642720853,2.6353899909456433
E0,256,10.0,5.0,2.0,26,2,2,0,False,0.006725727381862612,0.0732188071922989
B64,64,10.0,5.0,2.0,26,2,1,1,True,0.13773453449266526,2.242137436876273
E0,256,10.0,5.0,2.0,27,2,2,0,False,0.004178494943261057,0.09908756946008643
B64,64,10.0,5.0,2.0,27,1,1,0,True,0.10967428772144672,3.1294155466567184
E0,256,10.0,5.0,2.0,28,2,2,0,False,0.0007721757277892038,0.051611567588769086
B64,64,10.0,5.0,2.0,28,1,1,0,True,0.12127053975748936,1.8860501679893353
E0,256,10.0,5.0,2.0,29,2,2,0,False,0.002499999875809067,0.0040920954347677795
B64,64,10.0,5.0,2.0,29,1,1,0,True,0.12872079532894531,2.11246232106959
E0,256,10.0,5.0,2.0,30,2,2,0,False,0.007054810794102195,0.07234671512637722
B64,64,10.0,5.0,2.0,30,1,1,0,True,0.13853203814721837,2.2613478800880444
E0,256,10.0,5.0,2.0,31,3,2,1,False,0.0028937746918558105,0.08296358041298159
B64,64,10.0,5.0,2.0,31,2,1,1,True,0.08612010572127815,0.1175111781261548
E0,256,10.0,10.0,0.5,0,2,2,0,False,0.00276834696693129,0.007450009558887787
B64,64,10.0,10.0,0.5,0,1,1,0,True,0.12858036925231886,0.5507023991035304
E0,256,10.0,10.0,0.5,1,2,2,0,False,0.0015852344008777663,0.019995309152401122
B64,64,10.0,10.0,0.5,1,1,1,0,True,0.12668160033661024,0.5528073161980518
E0,256,10.0,10.0,0.5,2,3,2,1,False,0.0014134841189132885,0.01672725155728689
B64,64,10.0,10.0,0.5,2,3,2,1,False,0.04638879517494843,0.21476861723506419
E0,256,10.0,10.0,0.5,3,2,2,0,False,0.001793349673391731,0.009747672775743784
B64,64,10.0,10.0,0.5,3,2,2,0,False,0.023832295091366973,0.08786121733047753
E0,256,10.0,10.0,0.5,4,2,2,0,False,0.002223281448877401,0.012781029801710508
