ambiguity_margin_m,assigned_error_m,assigned_gt_id,density,detected,episode,frame,nearest_error_m,nearest_gt_id,origin_ms,second_nearest_error_m,slot,slot_rebirth_in_window,snr_db,tail_cause,visible_gt_count
0.4885,1.4513,1070,high,True,149,124,0.9628,1081,1118936694100,1.4513,6,False,15,ambiguous_close_vehicle,8
0.4885,1.4513,1070,high,True,149,124,0.9628,1081,1118936694600,1.4513,6,False,15,ambiguous_close_vehicle,8
0.4673,1.4465,211,high,True,41,59,0.9792,220,1118935967600,1.4465,3,False,15,ambiguous_close_vehicle,3
0.6847,4.3055,15,high,True,5,27,2.4682,4,1118935723600,3.1529,3,True,15,true_tracking_tail,8
1.0019,4.1554,4,high,True,5,12,2.6183,15,1118935723100,3.6201,6,True,15,true_tracking_tail,8
0.4306,4.104,15,high,True,5,25,2.6782,4,1118935723600,3.1088,3,True,15,true_tracking_tail,8
5.5893,16.1063,41,high,True,7,97,0.9265,39,1118935730100,6.5157,4,True,15,unresolved,8
4.3376,16.0373,63,high,True,10,88,0.9793,57,1118935749100,5.317,0,True,15,unresolved,7
1.6336,12.4233,28,high,True,8,133,0.9522,20,1118935753600,2.5858,3,True,15,unresolved,8
160.371,3.9868,8,low,False,6,63,3.9868,8,1118935726600,164.3578,2,True,15,true_tracking_tail,3
158.5804,3.1314,8,low,False,6,62,3.1314,8,1118935726600,161.7117,2,True,15,true_tracking_tail,3
30.7145,2.8219,1191,low,False,164,45,2.8219,1191,1118936785600,33.5363,2,False,15,true_tracking_tail,3
7.5935,1.1362,29,low,True,6,91,1.1362,29,1118935730100,8.7297,7,True,15,true_tracking_tail,2
7.5935,1.1362,29,low,True,6,91,1.1362,29,1118935730600,8.7297,7,True,15,true_tracking_tail,2
7.5935,1.1362,29,low,True,6,91,1.1362,29,1118935731100,8.7297,7,True,15,true_tracking_tail,2
6.4211,9.3838,467,mid,False,66,86,0.3149,474,1118936130100,6.7359,6,True,15,alignment_suspect,6
6.4211,6.7359,473,mid,False,66,86,0.3149,474,1118936129600,6.7359,6,True,15,alignment_suspect,6
6.4211,6.7359,473,mid,False,66,86,0.3149,474,1118936130600,6.7359,6,True,15,alignment_suspect,6
2.6342,2.4831,8,mid,False,2,106,2.4831,8,1118935711100,5.1173,1,False,15,true_tracking_tail,5
2.6342,2.4831,8,mid,False,2,106,2.4831,8,1118935711600,5.1173,1,False,15,true_tracking_tail,5
1.4199,2.4388,2,mid,False,2,88,1.0189,8,1118935709100,2.4388,2,False,15,true_tracking_tail,5
2.2052,10.6221,614,mid,False,82,113,0.9413,617,1118936231600,3.1465,2,True,15,unresolved,6
1.1323,7.4894,1191,mid,False,160,32,0.7609,1187,1118936743600,1.8932,2,True,15,unresolved,6
0.9095,7.3654,1191,mid,False,160,33,0.8904,1187,1118936743600,1.7999,2,True,15,unresolved,6
3.1135,11.1522,614,mid,True,82,112,0.2426,617,1118936231600,3.3561,2,True,15,alignment_suspect,6
3.3571,7.7184,1190,mid,True,160,68,0.2196,1185,1118936747100,3.5767,2,True,15,alignment_suspect,6
3.0042,7.5689,1185,mid,True,160,83,0.4431,1190,1118936748600,3.4473,0,True,15,alignment_suspect,6
0.8457,4.4966,15,mid,True,4,96,4.4966,15,1118935711100,5.3423,0,True,15,true_tracking_tail,4
1.3011,3.7817,15,mid,True,4,99,3.7817,15,1118935711100,5.0827,0,True,15,true_tracking_tail,4
0.1393,3.2632,11,mid,True,4,117,3.1239,12,1118935713100,3.2632,1,True,15,true_tracking_tail,4
2.6227,7.9298,1185,mid,True,160,82,0.5083,1190,1118936748600,3.1311,0,True,15,unresolved,6
3.4134,6.7933,1187,mid,True,160,48,0.8209,1185,1118936745100,4.2343,7,True,15,unresolved,6
1.6295,6.7118,1187,mid,True,160,23,0.8439,1190,1118936743600,2.4734,0,True,15,unresolved,6
2.1212,7.4904,19,high,False,8,69,0.3008,18,1118935747600,2.422,0,False,20,alignment_suspect,8
3.1595,6.8294,7,high,False,5,117,0.3319,11,1118935732100,3.4914,7,True,20,alignment_suspect,8
3.0683,4.9841,28,high,False,8,53,0.2369,26,1118935745600,3.3051,7,True,20,alignment_suspect,8
0.4714,1.4557,211,high,False,41,57,0.9843,220,1118935967600,1.4557,3,False,20,ambiguous_close_vehicle,4
3.0261,16.9506,5,high,False,5,30,3.6733,12,1118935723600,6.6994,5,True,20,true_tracking_tail,8
1.5839,10.6999,4,high,False,5,37,4.4278,12,1118935724100,6.0117,6,True,20,true_tracking_tail,8
3.1482,10.5349,11,high,False,5,33,7.3867,12,1118935723600,10.5349,4,True,20,true_tracking_tail,8
3.2791,8.331,19,high,False,8,68,0.5466,20,1118935748600,3.8257,5,True,20,unresolved,8
