origin,slot,all_ADE_rank,moving_ADE_rank,passes_motion,true_displacement_2s_m,average_displacement_speed_mps,valid_future_frames,qgnn_ADE,qgnn_FDE,gnn_ADE,gnn_FDE
102,0,125,,False,0.5890194347370206,0.2945097173685103,20,0.005825869366526603,0.012971903197467327,0.010997353494167328,0.023109540343284607
211,5,126,,False,0.008539841122645275,0.004269920561322638,20,0.005869390815496445,0.015674879774451256,0.004462470859289169,0.005164807662367821
152,7,127,,False,0.0,0.0,20,0.0058855567127466205,0.0013224255526438355,0.009681908041238784,0.0147718396037817
183,6,128,,False,0.0,0.0,20,0.0059122972190380095,0.008632268756628036,0.00713491290807724,0.0103747034445405
139,1,129,,False,0.0,0.0,20,0.005958081781864166,0.008368801325559616,0.005680106207728386,0.011660026386380196
220,2,130,,False,0.0,0.0,20,0.005973242223262787,0.005712959915399551,0.007344823330640793,0.012051673606038094
186,1,131,,False,0.0,0.0,20,0.005995118245482445,0.007351151201874018,0.00723460391163826,0.012443376705050468
388,7,132,,False,0.0,0.0,20,0.005996428802609444,0.004279784392565489,0.01239808052778244,0.015387733466923237
21,3,133,,False,0.06463556919961995,0.032317784599809975,20,0.006026722490787506,0.01003201212733984,0.004373705387115479,0.007979520596563816
187,1,134,,False,0.0,0.0,20,0.006029948219656944,0.007513183634728193,0.007234690338373184,0.012451106682419777
153,7,135,,False,0.0,0.0,20,0.006079218164086342,0.001708294847048819,0.005347026139497757,0.009295959956943989
154,7,136,,False,0.0,0.0,20,0.006103328987956047,0.001776402466930449,0.005179864913225174,0.00905412808060646
155,7,137,,False,0.0,0.0,20,0.006103835999965668,0.0017771454295143485,0.005180401355028152,0.009055869653820992
156,7,138,,False,0.0,0.0,20,0.0061061054468154905,0.0017874882323667407,0.005180207639932632,0.009057830087840557
370,3,139,,False,0.0,0.0,20,0.006122336536645889,0.008014076389372349,0.008506347239017487,0.010007195174694061
387,5,140,,False,0.03352938542593975,0.016764692712969875,20,0.0061499964445829395,0.004025149159133434,0.01374220997095108,0.017541326582431793
