split,episode_index,snr_db,outputs,expected_outputs,detected_true,exists_true,detected_equals_exists,detected_without_exists,exists_without_detected,zero_state_on_absent
train,88,5,1446,1446,1446,1446,True,0,0,True
train,88,10,1446,1446,1446,1446,True,0,0,True
train,88,15,1446,1446,1446,1446,True,0,0,True
train,88,20,1446,1446,1446,1446,True,0,0,True
train,89,5,1280,1280,1280,1280,True,0,0,True
train,89,10,1280,1280,1280,1280,True,0,0,True
train,89,15,1280,1280,1280,1280,True,0,0,True
train,89,20,1280,1280,1280,1280,True,0,0,True
train,90,5,975,975,975,975,True,0,0,True
train,90,10,975,975,975,975,True,0,0,True
train,90,15,975,975,975,975,True,0,0,True
train,90,20,975,975,975,975,True,0,0,True
train,91,5,1258,1258,1258,1258,True,0,0,True
train,91,10,1258,1258,1258,1258,True,0,0,True
train,91,15,1258,1258,1258,1258,True,0,0,True
train,91,20,1258,1258,1258,1258,True,0,0,True
train,92,5,808,808,808,808,True,0,0,True
train,92,10,808,808,808,808,True,0,0,True
train,92,15,808,808,808,808,True,0,0,True
train,92,20,808,808,808,808,True,0,0,True
train,93,5,1395,1395,1395,1395,True,0,0,True
train,93,10,1395,1395,1395,1395,True,0,0,True
train,93,15,1395,1395,1395,1395,True,0,0,True
train,93,20,1395,1395,1395,1395,True,0,0,True
train,94,5,1427,1427,1427,1427,True,0,0,True
train,94,10,1427,1427,1427,1427,True,0,0,True
train,94,15,1427,1427,1427,1427,True,0,0,True
train,94,20,1427,1427,1427,1427,True,0,0,True
train,95,5,1195,1195,1195,1195,True,0,0,True
train,95,10,1195,1195,1195,1195,True,0,0,True
train,95,15,1195,1195,1195,1195,True,0,0,True
train,95,20,1195,1195,1195,1195,True,0,0,True
train,96,5,817,817,817,817,True,0,0,True
train,96,10,817,817,817,817,True,0,0,True
train,96,15,817,817,817,817,True,0,0,True
train,96,20,817,817,817,817,True,0,0,True
train,97,5,1310,1310,1310,1310,True,0,0,True
train,97,10,1310,1310,1310,1310,True,0,0,True
train,97,15,1310,1310,1310,1310,True,0,0,True
train,97,20,1310,1310,1310,1310,True,0,0,True
train,98,5,1101,1101,1101,1101,True,0,0,True
train,98,10,1101,1101,1101,1101,True,0,0,True
train,98,15,1101,1101,1101,1101,True,0,0,True
train,98,20,1101,1101,1101,1101,True,0,0,True
train,99,5,1592,1592,1592,1592,True,0,0,True
train,99,10,1592,1592,1592,1592,True,0,0,True
train,99,15,1592,1592,1592,1592,True,0,0,True
train,99,20,1592,1592,1592,1592,True,0,0,True
train,100,5,1592,1592,1592,1592,True,0,0,True
train,100,10,1592,1592,1592,1592,True,0,0,True
train,100,15,1592,1592,1592,1592,True,0,0,True
train,100,20,1592,1592,1592,1592,True,0,0,True
train,101,5,863,863,863,863,True,0,0,True
train,101,10,863,863,863,863,True,0,0,True
train,101,15,863,863,863,863,True,0,0,True
train,101,20,863,863,863,863,True,0,0,True
train,102,5,862,862,862,862,True,0,0,True
train,102,10,862,862,862,862,True,0,0,True
train,102,15,862,862,862,862,True,0,0,True
train,102,20,862,862,862,862,True,0,0,True
train,103,5,1592,1592,1592,1592,True,0,0,True
train,103,10,1592,1592,1592,1592,True,0,0,True
train,103,15,1592,1592,1592,1592,True,0,0,True
train,103,20,1592,1592,1592,1592,True,0,0,True
train,104,5,1592,1592,1592,1592,True,0,0,True
train,104,10,1592,1592,1592,1592,True,0,0,True
train,104,15,1592,1592,1592,1592,True,0,0,True
train,104,20,1592,1592,1592,1592,True,0,0,True
train,105,5,888,888,888,888,True,0,0,True
train,105,10,888,888,888,888,True,0,0,True
train,105,15,888,888,888,888,True,0,0,True
train,105,20,888,888,888,888,True,0,0,True
train,106,5,888,888,888,888,True,0,0,True
train,106,10,888,888,888,888,True,0,0,True
train,106,15,888,888,888,888,True,0,0,True
train,106,20,888,888,888,888,True,0,0,True
train,107,5,229,229,229,229,True,0,0,True
train,107,10,229,229,229,229,True,0,0,True
train,107,15,229,229,229,229,True,0,0,True
train,107,20,229,229,229,229,True,0,0,True
train,108,5,1131,1131,1131,1131,True,0,0,True
train,108,10,1131,1131,1131,1131,True,0,0,True
